question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
Who can access the library on weekends and holidays?,"I believe that students generally have access to the library during weekdays, but I would need to check the specific policies of the UB library for weekend and holiday hours.",0.0,0.07364230466308452,0.1585598316634105,Only members of the University of Barcelona community.,Only members of the University of Barcelona community can access the library on weekends and holidays.
Which external institutions' members can also access the library?,Members of other universities and research centers affiliated with the University of Barcelona can also access the library.,0.6325458218047582,0.17057797258795934,0.19190175066907417,Members of Catalan public universities and the National Library of Catalonia under the CSUC agreement.,Members of Catalan public universities and the National Library of Catalonia under the CSUC agreement can access the library.
What happens when the library reaches its capacity?,"When the library reaches its capacity, it may need to implement strategies like limiting borrowing periods or introducing waiting lists for new materials.",0.7846861291381589,0.07303871087367088,0.14703847719754415,Access is prioritized for members of the UB community.,Access is prioritized for members of the UB community when the library reaches its capacity.
How many bars are available at the Faculty?,"I am unable to provide information about the number of bars available at the Faculty of Economics and Business at the University of Barcelona.  As an AI, I do not have access to real-time data or specific details about university facilities.",0.0,0.02516774760733297,0.12541121012931994,Two.,There are two bars at the faculty.
Where are the bars located?,"As a statistics student at the UB, I don't have personal experiences or knowledge about specific locations like bars. 🍻",0.0,0.05541491729370851,0.08544463006502544,One is in Building 690 and the other in Building 696.,The bar are located in Building 690 and the other in Building 696.
Until what time are the bars open?,"I am sorry, I do not have access to real-time information like business hours for specific locations.",0.0,0.056898378995368225,0.07399451366387114,8:00 PM.,The bar service are open until 8:00 PM.
When does the scholarship application period usually take place?,"The scholarship application period typically takes place during the academic year, often starting in the fall or early winter.",0.9876830368653774,0.17329813094771568,0.2131402814787506,The application period usually runs from late March to mid-May each year.,The scholarship application period usually runs from late March to mid-May each year.
Where must students submit the scholarship application?,Students must submit their scholarship applications to the Financial Aid Office at the University of Barcelona.,0.9637020383822502,0.07517857024085156,0.18040752217710038,On the AGAUR website.,Students must apply to the scholarship using the Generalitat form available on the AGAUR website.
What should students do if they are unsure about what they will study when applying for the scholarship?,"If you're unsure about your future studies when applying for a scholarship, it's best to research different programs and career paths that align with your interests and skills.",0.8769095090915892,0.11010705920339929,0.42527088298370674,They should still apply within the deadline and list the programs they consider most likely.,"If they are unsure about what to study, they should still apply the scholarship within the deadline and list the programs they consider most likely."
Can students modify their study choices after submitting the scholarship application?,I am not sure if students can modify their study choices after submitting a scholarship application.  It would be best to check with the specific scholarship program or the UB admissions office for that information.,0.0,0.2966449515794378,0.34792518580117704,"Yes, in September.","Yes, in September the form reopens and students can modify their study choices if necessary."
What does the tuition scholarship cover?,The tuition scholarship covers the cost of my university education at the Faculty of Economics and Business of the University of Barcelona.,1.0000000000000002,0.10330107943715713,0.13535295024132057,It consists of an exemption from the public fee for academic services for credits enrolled for the first time.,The tuition scholarship cover an exemption from the public fee for academic services for credits enrolled for the first time.
What is the minimum amount for the variable scholarship?,I can't provide specific information about the minimum scholarship amount as that would require access to real-time data from the University of Barcelona.,0.0,0.04983080900605288,0.11310526568645088,60 euros.,The minimum variable amount is €60.
Which factors determine the variable scholarship amount?,"The scholarship amount is determined by various factors, including academic merit, financial need, program of study, and institutional policies.",0.9481144842030979,0.16726122217846986,0.17845514087190856,"It depends on family income, the student's GPA, and the total scholarship budget allocated by the Ministry.","The variable amount depends on family income, the student's GPA, and the total scholarship budget allocated by the Ministry."
What fixed scholarship amounts can students receive?,I am unable to provide specific information about fixed scholarship amounts as those details vary depending on the specific program and funding source.,0.0,0.10195314455476305,0.14239711884845624,"Students may receive €1,700 for income, €2,700 for residency, and between €50 and €125 for academic excellence.","Students may receive a fixed scholarship of €1,700 for income, €2,700 for residency, and between €50 and €125 for academic excellence."
How many credits must a student enroll in to be eligible for a scholarship?,I can't tell you exactly how many credits a student needs to enroll in to be eligible for a scholarship because that information would vary depending on the specific scholarship program offered by the university.,0.0,0.0828746864334147,0.17198132908889102,30 credits.,Students must enroll in at least 30 credits to be eligible for a scholarship.
Who receives the tuition scholarship?,I am not able to provide information about who specifically receives tuition scholarships as that is confidential and depends on individual eligibility criteria set by the university.,0.0,0.148718311582998,0.1487098535289587,Everyone who is awarded the scholarship receives the tuition scholarship.,Everyone who is awarded the scholarship receives the tuition scholarship.
Who can receive the academic excellence scholarship?,The academic excellence scholarship is available to students who demonstrate exceptional academic performance at the Faculty of Economics and Business of the University of Barcelona.,0.7143025417960414,0.5752743994967939,0.6416924650619327,Only students enrolled in full-time studies.,Only students enrolled in full-time studies can receive the academic excellence scholarship.
Which income threshold allows students to receive the fixed income amount?,I can't provide specific financial information like income thresholds for benefits.  That kind of data is constantly changing and would require access to official government resources which I don't have as an AI.,0.0,0.1002421157475168,0.10520478090433993,Only students in income threshold 1.,Only students in income threshold 1 can receive the fixed amount.
What scholarship components can students in income threshold 2 receive?,"I am unable to provide specific details about scholarship components for students in income threshold 2 as I do not have access to real-time information or internal university policies.  To get accurate information, I recommend checking the official website of the Faculty of Economics and Business at the University of Barcelona.",0.0,0.07598623161624751,0.12266541943579082,They receive the residency amount and the variable amount.,Studnets in income threshold 2 can receive the residency amount and the variable amount.
What scholarship amounts can students enrolled in 48 to 59 credits receive?,I am unable to provide specific scholarship amounts for students enrolled in different credit loads.  My knowledge about university-specific financial aid is limited.,0.0,0.07350802122932963,0.07350561030558296,They can receive a fixed income-based award of €350 and a fixed residency-based award of €350.,They can receive a fixed income-based award of €350 and a fixed residency-based award of €350.
What scholarship amount do students enrolled in 30 to 47 credits receive?,I am unable to provide specific information about scholarship amounts for different credit loads.  My knowledge is based on general data and I don't have access to real-time details like scholarship policies.,0.0,0.07786810922323391,0.11015861033127944,They only receive the minimum variable award.,Students enrolled in 30 to 47 credits only receive the minimum variable award.
What is required for non-EU applicants to be eligible for the scholarship?,"Non-EU applicants need to meet specific requirements outlined by the scholarship program, including meeting academic criteria and demonstrating financial need.",0.9208220418252203,0.08115021475854893,0.12672657288121178,They must have a residence permit in Spain (NIE or TIE).,They must have a residence permit in Spain (NIE or TIE) to apyly for the scholarship.
What nationality requirement must scholarship applicants meet?,I am unable to provide specific information about nationality requirements for scholarships as I do not have access to real-time data or university policies.,0.0,0.07498433920590132,0.12317295698784425,They must be Spanish citizens or nationals of a European Union member state.,They must be Spanish citizens or nationals of a European Union member state to apply for the scholarship.
Can a student apply for the scholarship if they already hold a degree of the same or higher level?,"No, a student cannot apply for the scholarship if they already hold a degree of the same or higher level.",1.0000000000000002,0.6168454230293158,0.7298445733816741,"No, they cannot apply.","No, they cannot apply for the scholarship if they already hold a degree of an equal or higher level."
What academic requirement must second-year students meet to receive the scholarship?,"To be eligible for the scholarship, second-year students need to have achieved a minimum grade point average in their first year of studies.",0.7800075504960112,0.4057240510897846,0.4361427988541002,They must pass at least 65% of the credits they enrolled in.,They must pass at least 65% of the credits they enrolled in to receive the scholarship.
What happens if a student cancels their enrollment or withdraws from studies without completing the final year project within two years?,"If a student cancels their enrollment or withdraws from studies without completing the final year project within two years, they may face consequences such as being barred from future enrollment or having their degree revoked.",0.9001175554779516,0.09664229719940452,0.20419443270213783,"They must return all awarded aid, including the tuition scholarship.","If a student cancels their enrollment or withdraws from studies without completing the final year project within two years, they must return all awarded aid, including the tuition scholarship."
What happens if a student does not pass at least 40% of the enrolled credits?,"If a student does not pass at least 40% of the enrolled credits, they may be subject to academic sanctions or dismissal from the program.",0.999999597125726,0.08847121214368799,0.18977229820912414,They must return the awarded aid except for the tuition scholarship.," If a student does not pass at least 40% of the enrolled credits, they must return the awarded aid except for the tuition scholarship."
What tuition reduction do students from a general-category large family receive?,I am unable to provide specific information about tuition reductions for students from particular family categories.  My knowledge is based on general data and I don't have access to real-time university policies or financial aid details.,0.0,0.11005256607893969,0.1409406372654486,They receive a 50% reduction in tuition fees for enrolled credits.,"General categpry large family receive a 50% reduction in tuition fees for enrolled credits, as well as in academic record management and certificate issuance fees."
For which credits does the first-year exemption for honors students apply?,"I am not able to provide specific information about credit exemptions for honors students at the UB.  To find that information, I would recommend checking the official website of the Faculty of Economics and Business or contacting the relevant department directly.",0.0,0.09224965526533378,0.0961596463402756,To all credits in which they enroll for the first time during the first year of their official university studies.,It applies to all credits in which they enroll for the first time during the first year of their official university studies.
What level of disability entitles a student to a tuition fee exemption?,I am unable to provide specific information about the levels of disability that qualify for tuition fee exemptions.  This is because those details would vary depending on the policies of the University of Barcelona and the specific regulations in place.,0.0,0.04964359572736684,0.1589390834536554,33% or higher.,Students with a disability degree of 33% or higher are entitled to a tuition fee exemption.
Are victims of terrorist acts entitled to tuition fee exemptions?,"I am not able to provide legal advice, and whether victims of terrorist acts are entitled to tuition fee exemptions is a complex issue that would depend on specific circumstances and local laws.  It's best to consult with relevant authorities or educational institutions for accurate information.",0.0,0.04404191839207901,0.19384409779651304,Yes.,"Yes, victims of terrorist acts, as well as their children and spouse, are entitled to tuition fee exemptions."
Do victims of gender-based violence qualify for tuition fee exemptions?,"I am not able to provide legal or financial advice, and I do not have access to specific information about tuition fee exemptions in Spain.  To find out if victims of gender-based violence qualify for tuition fee exemptions, it would be best to contact the UB Student Services office directly.",0.0,0.03681835023166392,0.3605323884162679,Yes.,"Yes, victims of gender-based violence, both within and outside an intimate partner relationship, and their dependent children are entitled to tuition fee exemptions."
How is the tuition exemption applied for credits with honors in university studies?,"I am not able to provide specific details about how tuition exemptions apply to credits with honors in university studies.  As an AI, I do not have access to real-time information or internal policies of specific universities.",0.0,0.15233561351793207,0.15233561351793207,Students receive an exemption from tuition fees for a number of credits equivalent to those in which they obtained honors.,Students receive an exemption from tuition fees for a number of credits equivalent to those in which they obtained honors.
