ID,Q,SA,LA,Source_doc,Source_text,longitud_ref,chunk_relevante,similitud_max
Q_094,Where are the computer labs located?,"They are located on the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696.","The computer labs are located on the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696.",DOC_009,"These labs are located in three different areas: the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696. ",175,DOC_009_chunk_0001,1.0
Q_095,Who can access the computer labs?,Only members of the University.,Only members of the University who identify themselves as such can acces to the computer labs.,DOC_009,"To access them, you must identify yourself as a member of the University. ",74,DOC_009_chunk_0001,1.0
Q_096,What are the opening hours of the computer labs during the academic term?,From 8:00 AM to 9:00 PM.,The computer labs are open from 8:00 AM to 9:00 PM.,DOC_009,"During the academic term, the labs are open from 8:00 AM to 9:00 PM.",68,DOC_009_chunk_0002,1.0
Q_097,How many study rooms are available at the Faculty?,Ten rooms.,There are ten study rooms at the faculty.,DOC_009,"We provide a number of study rooms for you to enjoy a space to study or work in groups. Specifically, ten study rooms are available.",132,DOC_009_chunk_0008,1.0
Q_098,Where are the study rooms located?,"Five rooms are on the ground floor of Building 696, two rooms are on the second floor of Building 696, and three rooms are in Building 690.","Five rooms are on the ground floor of Building 696, two rooms are on the second floor of Building 696, and three rooms are in Building 690.",DOC_009,Five rooms in Building 696 (ground floor). Two rooms in Building 696 (2nd floor). Three rooms in Building 690.,110,DOC_009_chunk_0008,1.0
Q_099,What sports facilities are available through the UB Sports Service?,"Facilities include a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf, a rugby field, a multi-purpose gymnasium, and an athletic track.","UB Sport Service facilities include a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf, a rugby field, a multi-purpose gymnasium, and an athletic track.",DOC_009,"Through the UB Sports Service, we offer the university community a wide range of group exercise activities and a set of facilities such as a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf and a rugby field, a multi-purpose gymnasium and an athletic track, among others.",334,DOC_009_chunk_0003,1.0
Q_100,How much does it cost to rent a locker for an academic year?,11 euros.,The locker costs 11 euros per academic year.,DOC_009,"The rental costs 11€ per academic year (regardless of when it is requested), and you must provide your own lock.",112,DOC_009_chunk_0004,1.0
Q_101,What must students provide when renting a locker?,Their own lock.,They must provide their own lock when they rent a locker.,DOC_009,"The rental costs 11€ per academic year (regardless of when it is requested), and you must provide your own lock.",112,DOC_009_chunk_0004,1.0
Q_102,What types of events can Faculty spaces be rented for?,"They can be rented for conferences, lectures, exams, commercials, and films.","The faculty spaces can be rented for conferences, lectures, exams, commercials, and films.",DOC_009,"We make available a catalog of spaces for rent in the two Faculty buildings (Building 690 and Building 696) for anyone who may need them. These spaces can be used for conferences, lectures, exams, commercials, and films, among other possibilities.",247,DOC_009_chunk_0006,1.0
Q_103,How can the Faculty spaces be rented?,They can be rented by the hour or by the day.,The faculty spaces can be rented by the hour or by the day.,DOC_009," The various classrooms and rooms, as well as spaces like the hallways, outdoor gardens, or parking lots, can be rented by the hour or by the day.",146,DOC_009_chunk_0006,1.0
Q_104,Who can access the library on weekends and holidays?,Only members of the University of Barcelona community.,Only members of the University of Barcelona community can access the library on weekends and holidays.,DOC_009,"On weekends and holidays, only members of the UB community may access the library. ",83,DOC_009_chunk_0009,1.0
Q_105,Which external institutions' members can also access the library?,Members of Catalan public universities and the National Library of Catalonia under the CSUC agreement.,Members of Catalan public universities and the National Library of Catalonia under the CSUC agreement can access the library.,DOC_009,All members of Catalan public universities and the National Library of Catalonia can access the library under the agreement signed within the framework of the CSUC. ,165,DOC_009_chunk_0009,1.0
Q_106,What happens when the library reaches its capacity?,Access is prioritized for members of the UB community.,Access is prioritized for members of the UB community when the library reaches its capacity.,DOC_009,"Access will be prioritized for members of the UB community, with prior notice, when capacity is reached, and access restrictions will be maintained during exam periods.",168,DOC_009_chunk_0010,1.0
Q_107,How many bars are available at the Faculty?,Two.,There are two bars at the faculty.,DOC_009,"Students and teachers have two bars at their disposal, one in Building 690 and the other in Building 696.",105,DOC_009_chunk_0011,1.0
Q_108,Where are the bars located?,One is in Building 690 and the other in Building 696.,The bar are located in Building 690 and the other in Building 696.,DOC_009,"Students and teachers have two bars at their disposal, one in Building 690 and the other in Building 696.",105,DOC_009_chunk_0011,1.0
Q_109,Until what time are the bars open?,8:00 PM.,The bar service are open until 8:00 PM.,DOC_009,"The bars are open until 8:00 p.m. At lunchtime, a different daily menu is offered at very affordable prices.",108,DOC_009_chunk_0011,1.0
Q_110,When does the scholarship application period usually take place?,The application period usually runs from late March to mid-May each year.,The scholarship application period usually runs from late March to mid-May each year.,DOC_010,The scholarship application period is scheduled to run from late March to mid-May each year. ,93,DOC_010_chunk_0001,1.0
Q_111,Where must students submit the scholarship application?,On the AGAUR website.,Students must apply to the scholarship using the Generalitat form available on the AGAUR website.,DOC_010,The scholarship must be applied for within the established timeframe using the Generalitat form available on the AGAUR website.,127,DOC_010_chunk_0001,1.0
Q_112,What should students do if they are unsure about what they will study when applying for the scholarship?,They should still apply within the deadline and list the programs they consider most likely.,"If they are unsure about what to study, they should still apply the scholarship within the deadline and list the programs they consider most likely.",DOC_010,"Apply within the deadline, even if you don't know what you'll study, or even if you're not sure whether you'll study at all. List the programs you consider most likely.",168,DOC_010_chunk_0001,1.0
Q_113,Can students modify their study choices after submitting the scholarship application?,"Yes, in September.","Yes, in September the form reopens and students can modify their study choices if necessary.",DOC_010,"Apply within the deadline, even if you don't know what you'll study, or even if you're not sure whether you'll study at all. List the programs you consider most likely. In September, the form will reopen and, if necessary, you can modify your choices.",251,DOC_010_chunk_0002,1.0
Q_114,What does the tuition scholarship cover?,It consists of an exemption from the public fee for academic services for credits enrolled for the first time.,The tuition scholarship cover an exemption from the public fee for academic services for credits enrolled for the first time.,DOC_010,The tuition scholarship consists of an exemption from the public fee for academic services for credits enrolled for the first time and in accordance with the conditions set forth in the call.,191,DOC_010_chunk_0003,1.0
Q_115,What is the minimum amount for the variable scholarship?,60 euros.,The minimum variable amount is €60.,DOC_010,"Variable amount. It can be: Minimum: €60 or calculated based on family income, your grade point average, and the total budget the Ministry allocates to the scholarships.",169,DOC_010_chunk_0004,1.0
Q_116,Which factors determine the variable scholarship amount?,"It depends on family income, the student's GPA, and the total scholarship budget allocated by the Ministry.","The variable amount depends on family income, the student's GPA, and the total scholarship budget allocated by the Ministry.",DOC_010,"Variable amount. It can be: Minimum: €60 or calculated based on family income, your grade point average, and the total budget the Ministry allocates to the scholarships.",169,DOC_010_chunk_0004,1.0
Q_117,What fixed scholarship amounts can students receive?,"Students may receive €1,700 for income, €2,700 for residency, and between €50 and €125 for academic excellence.","Students may receive a fixed scholarship of €1,700 for income, €2,700 for residency, and between €50 and €125 for academic excellence.",DOC_010,"Fixed amounts: For income: €1,700. For residency: €2,700. For academic excellence: between €50 and €125.",104,DOC_010_chunk_0004,1.0
Q_118,How many credits must a student enroll in to be eligible for a scholarship?,30 credits.,Students must enroll in at least 30 credits to be eligible for a scholarship.,DOC_010,"If you enroll in fewer than 30 credits, you are not eligible for a scholarship for the current or the following academic year.",126,DOC_010_chunk_0005,1.0
Q_119,Who receives the tuition scholarship?,Everyone who is awarded the scholarship receives the tuition scholarship.,Everyone who is awarded the scholarship receives the tuition scholarship.,DOC_010,Everyone who is awarded the scholarship receives the tuition scholarship.,73,DOC_010_chunk_0006,1.0
Q_120,Who can receive the academic excellence scholarship?,Only students enrolled in full-time studies.,Only students enrolled in full-time studies can receive the academic excellence scholarship.,DOC_010,The academic excellence scholarship is only for full-time studies. ,67,DOC_010_chunk_0006,1.0
Q_121,Which income threshold allows students to receive the fixed income amount?,Only students in income threshold 1.,Only students in income threshold 1 can receive the fixed amount.,DOC_010,Only those in threshold 1 can receive the fixed income amount. ,63,DOC_010_chunk_0006,1.0
Q_122,What scholarship components can students in income threshold 2 receive?,They receive the residency amount and the variable amount.,Studnets in income threshold 2 can receive the residency amount and the variable amount.,DOC_010,Those in threshold 2 only receive the residency amount and the variable amount. ,80,DOC_010_chunk_0006,1.0
Q_123,What scholarship amounts can students enrolled in 48 to 59 credits receive?,They can receive a fixed income-based award of €350 and a fixed residency-based award of €350.,They can receive a fixed income-based award of €350 and a fixed residency-based award of €350.,DOC_010,Partial enrollments between 48 and 59 credits are eligible for the fixed income-based award (€350) and the fixed residency-based award (€350).,142,DOC_010_chunk_0007,1.0
Q_124,What scholarship amount do students enrolled in 30 to 47 credits receive?,They only receive the minimum variable award.,Students enrolled in 30 to 47 credits only receive the minimum variable award.,DOC_010,Those who enroll in 30 to 47 credits only receive the minimum variable award.,77,DOC_010_chunk_0007,1.0
Q_125,What is required for non-EU applicants to be eligible for the scholarship?,They must have a residence permit in Spain (NIE or TIE).,They must have a residence permit in Spain (NIE or TIE) to apyly for the scholarship.,DOC_010,"If you are not a citizen of the Union, you must have a residence permit in Spain, i.e., an NIE/TIE (Foreign Identification Card). A study permit is not valid.",158,DOC_010_chunk_0009,1.0
Q_126,What nationality requirement must scholarship applicants meet?,They must be Spanish citizens or nationals of a European Union member state.,They must be Spanish citizens or nationals of a European Union member state to apply for the scholarship.,DOC_010,"General requirements: Be a Spanish citizen or hold the nationality of a member state of the European Union. In the case of European Union citizens or their family members, they must have permanent resident status or provide proof of being self-employed or employed by others in Spain. ",285,DOC_010_chunk_0008,1.0
Q_127,Can a student apply for the scholarship if they already hold a degree of the same or higher level?,"No, they cannot apply.","No, they cannot apply for the scholarship if they already hold a degree of an equal or higher level.",DOC_010,"Not hold, at the time of applying for the scholarship, a degree of a level equal to or higher than the level of studies for which the scholarship is being requested.  Meet the other academic and financial requirements specified in the call. ",241,DOC_010_chunk_0010,1.0
Q_128,What academic requirement must second-year students meet to receive the scholarship?,They must pass at least 65% of the credits they enrolled in.,They must pass at least 65% of the credits they enrolled in to receive the scholarship.,DOC_010,"Second-year students and above, to be eligible for the tuition scholarship and the other amounts, must pass 65% of the credits they have enrolled in.",149,DOC_010_chunk_0010,1.0
Q_129,What happens if a student cancels their enrollment or withdraws from studies without completing the final year project within two years?,"They must return all awarded aid, including the tuition scholarship.","If a student cancels their enrollment or withdraws from studies without completing the final year project within two years, they must return all awarded aid, including the tuition scholarship.",DOC_010,"You are considered to be in breach of your obligation if you: Cancel your enrollment or withdraw from your studies and have not submitted the final year project, which is not a course on the Study Plan, within two years from the date of the scholarship award decision. In either of these cases, you will have to return all awarded aid. (including the tuition scholarship).",372,DOC_010_chunk_0011,1.0
Q_130,What happens if a student does not pass at least 40% of the enrolled credits?,They must return the awarded aid except for the tuition scholarship.," If a student does not pass at least 40% of the enrolled credits, they must return the awarded aid except for the tuition scholarship.",DOC_010,"If you do not pass 40% of the credits enrolled in a regular or extraordinary exam period. In this case, you will have to return the awarded aid, except for the tuition scholarship.",180,DOC_010_chunk_0012,1.0
Q_131,What tuition reduction do students from a general-category large family receive?,They receive a 50% reduction in tuition fees for enrolled credits.,"General categpry large family receive a 50% reduction in tuition fees for enrolled credits, as well as in academic record management and certificate issuance fees.",DOC_011,"Students who belong to a large family (general category) are entitled to a 50% reduction in tuition fees for enrolled credits, as well as in the academic record management and certificate issuance fees. Students who belong to a large family (special category) are entitled to a 100% exemption from these fees.",309,DOC_011_chunk_0001,1.0
Q_132,For which credits does the first-year exemption for honors students apply?,To all credits in which they enroll for the first time during the first year of their official university studies.,It applies to all credits in which they enroll for the first time during the first year of their official university studies.,DOC_011,The decree of the Government of Catalonia establishing the prices for the provision of academic services states that students who have been awarded an honors distinction or an extraordinary prize in upper secondary education or higher-level vocational training are entitled to full exemption from public fees for all credits in which they enroll for the first time during the first year of their official university studies.,424,DOC_011_chunk_0002,1.0
Q_133,What level of disability entitles a student to a tuition fee exemption?,33% or higher.,Students with a disability degree of 33% or higher are entitled to a tuition fee exemption.,DOC_011,"Students with a disability degree of 33% or higher, victims of terrorist acts (as well as their children and spouse), victims of gender-based violence within the context of an intimate partner relationship and their dependent children, victims of gender-based violence outside the context of an intimate partner relationship",324,DOC_011_chunk_0003,1.0
Q_134,Are victims of terrorist acts entitled to tuition fee exemptions?,Yes.,"Yes, victims of terrorist acts, as well as their children and spouse, are entitled to tuition fee exemptions.",DOC_011,"Students with a disability degree of 33% or higher, victims of terrorist acts (as well as their children and spouse), victims of gender-based violence within the context of an intimate partner relationship and their dependent children, victims of gender-based violence outside the context of an intimate partner relationship",324,DOC_011_chunk_0003,1.0
Q_135,Do victims of gender-based violence qualify for tuition fee exemptions?,Yes.,"Yes, victims of gender-based violence, both within and outside an intimate partner relationship, and their dependent children are entitled to tuition fee exemptions.",DOC_011,"Students with a disability degree of 33% or higher, victims of terrorist acts (as well as their children and spouse), victims of gender-based violence within the context of an intimate partner relationship and their dependent children, victims of gender-based violence outside the context of an intimate partner relationship",324,DOC_011_chunk_0003,1.0
Q_136,How is the tuition exemption applied for credits with honors in university studies?,Students receive an exemption from tuition fees for a number of credits equivalent to those in which they obtained honors.,Students receive an exemption from tuition fees for a number of credits equivalent to those in which they obtained honors.,DOC_011,It also establishes the application of an exemption from tuition fees for a number of credits equivalent to those in which the student has obtained a distinction with honors in university studies.,196,DOC_011_chunk_0004,1.0
